date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:59	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2006%20Jan%202022%2013:52:03%20GMT	https://www.hsgadvisory.com/robots.txt		(from )
19:22:00	20536/20536	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2006%20Jan%202022%2013:52:03%20GMT	https://www.hsgadvisory.com/	C:/My%20Web%20Sites/Magma/www.hsgadvisory.com/index.html	(from )
19:22:43	13188/13188	U-----	200	untouched ('')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/Magma/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.hsgadvisory.com/)
19:22:57	9392/9392	U-----	200	untouched ('')	image/png	etag:%225bdce886419bb0acf1fbfab8d1da5c90%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/6021a05fdffbf03729035754_Untitled%20design%20(27).png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/6021a05fdffbf03729035754_Untitled%20design%20(27).png	(from https://www.hsgadvisory.com/)
19:22:57	1752/1752	U-----	200	untouched ('')	image/png	etag:%228c459f63460be595c9854abb37ee6d93%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/6021a09e9a0aba87557a29ad_Untitled%20design%20(27).png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/6021a09e9a0aba87557a29ad_Untitled%20design%20(27).png	(from https://www.hsgadvisory.com/)
19:22:57	180141/180141	U-----	200	untouched ('OK')	text/css	etag:%222d6dfa5a832e54d6fe3ae0b154975cb5%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/css/hsg-advisory.webflow.e3ef5bf72.css	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/css/hsg-advisory.webflow.e3ef5bf72.css	(from https://www.hsgadvisory.com/)
19:22:57	8743/8743	U-----	200	untouched ('')	image/png	etag:%221f49c7ed967cba3828420db62eb36f26%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fec9ee792fcdb3942d12bc4_logo-light.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fec9ee792fcdb3942d12bc4_logo-light.png	(from https://www.hsgadvisory.com/)
19:22:58	27347/27347	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2006%20Jan%202022%2013:53:01%20GMT	https://www.hsgadvisory.com/team	C:/My%20Web%20Sites/Magma/www.hsgadvisory.com/team.html	(from https://www.hsgadvisory.com/)
19:22:58	11083/11083	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2006%20Jan%202022%2013:53:01%20GMT	https://www.hsgadvisory.com/careers	C:/My%20Web%20Sites/Magma/www.hsgadvisory.com/careers.html	(from https://www.hsgadvisory.com/)
19:22:58	11091/11091	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2006%20Jan%202022%2013:53:01%20GMT	https://www.hsgadvisory.com/contact	C:/My%20Web%20Sites/Magma/www.hsgadvisory.com/contact.html	(from https://www.hsgadvisory.com/)
19:22:58	17913/17913	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2006%20Jan%202022%2013:53:01%20GMT	https://www.hsgadvisory.com/what-we-do	C:/My%20Web%20Sites/Magma/www.hsgadvisory.com/what-we-do.html	(from https://www.hsgadvisory.com/)
19:23:00	11068/11068	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2296edb61c19a0b7d81492ffc8c2a76816%22	https://d3e54v103j8qbb.cloudfront.net/img/background-image.svg	C:/My%20Web%20Sites/Magma/d3e54v103j8qbb.cloudfront.net/img/background-image.svg	(from https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/css/hsg-advisory.webflow.e3ef5bf72.css)
19:23:00	22992/22992	U-----	200	untouched ('')	image/png	etag:%22c69970b317b519af5090d89a62c51b5c%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fecfe5874e94dba9c7ea256_iconfinder_03_feather-pen-quill_5746726.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fecfe5874e94dba9c7ea256_iconfinder_03_feather-pen-quill_5746726.png	(from https://www.hsgadvisory.com/)
19:23:00	12607/12607	U-----	200	untouched ('')	image/png	etag:%22e162cd8e4a2ad55f02f3196378b70067%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fecfe5883f67d7a4864e482_iconfinder_03_wand-magic-select-tool_5746711.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fecfe5883f67d7a4864e482_iconfinder_03_wand-magic-select-tool_5746711.png	(from https://www.hsgadvisory.com/)
19:23:00	18089/18089	U-----	200	untouched ('')	image/png	etag:%2293ad5fc0f1af60ec18de65d3afe21f7b%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fecfe58523345e4e85581bb_iconfinder_03_caliper-compass-callipers-divider_5746715.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fecfe58523345e4e85581bb_iconfinder_03_caliper-compass-callipers-divider_5746715.png	(from https://www.hsgadvisory.com/)
19:23:01	7091/7091	U-----	200	untouched ('')	image/png	etag:%22eb462fa26e0436000dde02fbe87fa111%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5feca2a37aaf96228f8c3f05_dawn.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5feca2a37aaf96228f8c3f05_dawn.png	(from https://www.hsgadvisory.com/)
19:23:01	21684/21684	U-----	200	untouched ('')	image/png	etag:%2299dbabbb412f31bf291294b664bbc571%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5feca2a2a081fc51297bf6e0_paddle.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5feca2a2a081fc51297bf6e0_paddle.png	(from https://www.hsgadvisory.com/)
19:23:01	3155/3155	U-----	200	untouched ('')	image/png	etag:%2222ceaddf7ad12a0572137dee093e1638%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fedd6706e8146ea55c500a6_simba.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fedd6706e8146ea55c500a6_simba.png	(from https://www.hsgadvisory.com/)
19:23:01	162214/162214	U-----	200	untouched ('')	image/png	etag:%2294e533fe76cafbe6b02a227e28484ed9%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5feca2a32d254219ca208770_crowdcube.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5feca2a32d254219ca208770_crowdcube.png	(from https://www.hsgadvisory.com/)
19:23:01	11934/11934	U-----	200	untouched ('')	image/png	etag:%22184a765b8be6977ec09dc1591d87cb96%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fee1a3b92fcdbc4d4d54b0e_curve.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fee1a3b92fcdbc4d4d54b0e_curve.png	(from https://www.hsgadvisory.com/)
19:23:02	1205/1205	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220ccca0d3ee0518dca37653808142b5ad%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fec9cbd6507400f4c61bd23_quote%20mark.svg	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fec9cbd6507400f4c61bd23_quote%20mark.svg	(from https://www.hsgadvisory.com/what-we-do)
19:23:02	51771/51771	U-----	200	untouched ('')	image/png	etag:%22a5fd1331a3e5e9a77f642d3091a692a5%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fee1a3baac9086b056360a6_jacobs.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fee1a3baac9086b056360a6_jacobs.png	(from https://www.hsgadvisory.com/)
19:23:02	60808/60808	U-----	200	untouched ('')	image/png	etag:%22396174f244e1718228a688d19472202e%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5feca2a301923a84b9f170f8_octopus.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5feca2a301923a84b9f170f8_octopus.png	(from https://www.hsgadvisory.com/)
19:23:51	16/16	U--MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2006%20Jan%202022%2013:53:07%20GMT	https://www.hsgadvisory.com/privacy-policy	C:/My%20Web%20Sites/Magma/www.hsgadvisory.com/privacy-policy.html	(from https://www.hsgadvisory.com/)
19:23:57	8894/8894	U-----	200	untouched ('')	image/png	etag:%22735eb6ee36535b3ff8d539cc3d6422dd%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5feca2a22221c925afe25cab_farewill.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5feca2a22221c925afe25cab_farewill.png	(from https://www.hsgadvisory.com/)
19:23:57	235347/235347	U-----	200	untouched ('')	image/png	etag:%22a6e5d6ca51417e16854b034bbf32b40a%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/6015ba8349f4818592b79eb8_Untitled%20design%20(26).png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/6015ba8349f4818592b79eb8_Untitled%20design%20(26).png	(from https://www.hsgadvisory.com/)
19:23:59	3982/3982	U-----	200	untouched ('')	image/png	etag:%2236a8f3a386e0777a7eacf8f6c3d7ebe6%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fec9dfd1b5800f92eef8af2_linkedin.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fec9dfd1b5800f92eef8af2_linkedin.png	(from https://www.hsgadvisory.com/)
19:24:43	89476/89476	U-----	200	untouched ('')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=5fec9cbd559a42ec579e8c62	C:/My%20Web%20Sites/Magma/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8ecf3.js	(from https://www.hsgadvisory.com/)
19:24:56	2610332/2610332	U-----	200	untouched ('')	text/javascript	etag:%22ed821e09a13bb991204c4b49edc8df09%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/js/webflow.2ddb12554.js	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/js/webflow.2ddb12554.js	(from https://www.hsgadvisory.com/)
19:24:57	138429/138429	U-----	200	untouched ('')	image/jpeg	etag:%2263375590511632498893fb841c860fa5%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5feca6283d8f868358f26dad_dawn%20team.jpg	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5feca6283d8f868358f26dad_dawn%20team.jpg	(from https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/css/hsg-advisory.webflow.e3ef5bf72.css)
19:25:11	5882/5882	U-----	200	untouched ('')	application/javascript	date:Tue,%2004%20Jan%202022%2016:37:15%20GMT	https://cdn.usefathom.com/script.js	C:/My%20Web%20Sites/Magma/cdn.usefathom.com/script.js	(from https://www.hsgadvisory.com/)
19:25:41	263394/263394	U-----	200	untouched ('')	image/jpeg	etag:%22734c14c9d1acaf8cd1d443f573903c93%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fec9cbd650740742461bd4e_painter.jpg	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fec9cbd650740742461bd4e_painter.jpg	(from https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/css/hsg-advisory.webflow.e3ef5bf72.css)
19:25:54	1523296/1523296	U-----	200	untouched ('')	image/png	etag:%22d0bb44cf5005208fdb3abd2114fdc472%22	https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fec9cbd650740b5aa61bd57_Set%20One.png	C:/My%20Web%20Sites/Magma/uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/5fec9cbd650740b5aa61bd57_Set%20One.png	(from https://uploads-ssl.webflow.com/5fec9cbd559a42ec579e8c62/css/hsg-advisory.webflow.e3ef5bf72.css)
